title,video_id,published_at,channel_title
Historian tells Fareed Zakaria about the way Trump ‘wants to turn the clock back’ with tariffs,gw2_dBrYaNE,2025-05-04T19:30:05Z,CNN
&#39;Highly illegal&#39;: Hear Harvard president&#39;s response to latest Trump threat,TSX3XOV0G2E,2025-05-02T21:44:21Z,CNN
Professor says Trump missing one major instrument of power,756haNx8w-k,2025-05-01T21:58:20Z,CNN
Harris hits Trump during speech,tOPah3k5Nho,2025-05-01T05:54:12Z,CNN
Trump &#39;wants to rule&#39;: Rahm Emanuel says Trump has an &#39;embarrassing&#39; susceptibility to flattery,hcUiHX9GmQU,2025-05-01T01:20:29Z,CNN
Ex-Trump economics adviser: I&#39;m on Amazon&#39;s side in this spat,yelhgNhjPC8,2025-04-30T11:01:39Z,CNN
How the Trump administration labeled students as criminals with no evidence,0qUMEWqlb6Y,2025-04-30T01:15:01Z,CNN
Hear Mark Carney’s message to Trump after stunning election win,-r8ScDioLBw,2025-04-29T11:54:14Z,CNN
CNN reporter details Harvard and Trump admin’s first day in court,qT-1LEPaXzY,2025-04-28T23:49:41Z,CNN
Harvard president: &#39;We have no choice&#39;,vHeJRCPgZ5E,2025-04-24T17:55:17Z,CNN
&#39;It&#39;s a yes or no answer&#39;: Abby Phillip challenges Scott Jennings on Fed Chair,F5oyz9Y33UI,2025-04-23T11:00:21Z,CNN
Harvard&#39;s lawsuit against the Trump admin sets up a titanic clash over academic freedom,Iwvk8-YYjao,2025-04-22T19:36:54Z,CNN
Law professor evaluates Harvard&#39;s case against Trump&#39;s admin,-LDm1LTD-eE,2025-04-22T13:27:00Z,CNN
Harvard sues Trump administration,aKOwO-307_I,2025-04-21T23:58:45Z,CNN
Former president of Columbia University on Trump’s ‘campaign of intimidation’,60GmnlFtHP4,2025-04-20T19:30:01Z,CNN
Fareed’s Take: Trump’s tariffs upended a booming economy,k4VfaYi_vJY,2025-04-20T17:57:31Z,CNN
Smerconish: Trump is picking fights he relishes,FaK62GT4xMc,2025-04-20T08:28:38Z,CNN
Comedian puzzled by Ted Cruz’s IRS claim,z6QNXd8IyYY,2025-04-20T02:12:07Z,CNN
Scott Jennings: Why do Dems &#39;fall in love with the worst people?&#39;,sL6GONG8tis,2025-04-18T13:40:37Z,CNN
‘This cancellation will cost lives’: Harvard professor on losing funding for medical research,Zp93RZ7Uzfc,2025-04-16T13:29:44Z,CNN
Hear what Biden said in first public remarks since leaving office,iOQaZF3Lolk,2025-04-16T12:37:37Z,CNN
"Scott Jennings, Lulu Navarro Garcia spar over Trump&#39;s threats to Harvard",ngDBH8utpUE,2025-04-15T21:17:10Z,CNN
Trump threatens to tax Harvard as a political entity,aa0_HrAglEo,2025-04-15T18:51:10Z,CNN
Trump administration withholds more than $2.2 billion from Harvard,6p2qQNjd90M,2025-04-15T18:29:00Z,CNN
Is Trump defying the Supreme Court&#39;s order? Hear what a former judge thinks,HeQY6VjwGa0,2025-04-15T16:29:58Z,CNN
The Trump admin. is making demands of Harvard. Harvard is now fighting back,wjHtvAYKCto,2025-04-15T11:31:56Z,CNN
‘A downward spiral has begun’: Varying reactions to Trump Administration’s trade war,eWljX2pDJJ0,2025-04-15T02:30:24Z,CNN
Hear what Katy Perry said after flying into space,0cF-J1M2eIs,2025-04-14T16:29:40Z,CNN
Hear top economist&#39;s prediction if uncertainty around Trump&#39;s tariffs continues,KjB9pWdZL3s,2025-04-14T14:09:25Z,CNN
&#39;Americans are not buying what Trump is selling them&#39;: Harry Enten breaks down new poll,WZ1LH1kAGo8,2025-04-14T13:18:23Z,CNN
‘Never yield’: Fareed Zakaria explains Chinese mentality over trade war,xjdz_lxO898,2025-04-12T17:36:25Z,CNN
Erin Burnett breaks out whiteboard to explain Trump’s tariff math,XTwNUl-v57s,2025-04-09T11:33:05Z,CNN
Attorney who resigned to protest Trump&#39;s law firm deals has a message for firms&#39; leaders,J1tdFVMG3uo,2025-04-08T12:39:38Z,CNN
Attorney who resigned to protest Trump&#39;s law firm deals speaks out,__jAHWFfZHw,2025-04-08T01:23:26Z,CNN
Trump threatens additional 50% tariff on China as trade war escalates,svQfhaHM2T4,2025-04-07T16:48:25Z,CNN
Gov. Tim Walz reacts to Kamala Harris&#39; &#39;I told you so&#39; comment,XqM2F1JxX0c,2025-04-07T13:04:16Z,CNN
Canada’s prime minister reacts to Trump’s tariffs,goqmKtFS-wg,2025-04-03T16:46:06Z,CNN
"Europe’s tariff warning, TikTok’s deadline, Karen Read murder trial &amp; more",OXWI5pqFG2Q,2025-04-01T13:21:48Z,CNN
John Dean reacts to Trump saying he&#39;s &#39;not joking&#39; about seeking a third term,UMIQRrriqlI,2025-03-31T02:00:37Z,CNN
Officials: Two texts by Waltz and Ratcliffe damaged intel efforts,ZN3iYyOSF0Y,2025-03-28T14:16:46Z,CNN
"&#39;Don&#39;t try me today, Scotty&#39;: Cari Champion &amp; Scott Jennings debate new poll",2wKL2vL1DtQ,2025-03-18T11:00:07Z,CNN
Fareed’s Take: Trump administration&#39;s &#39;war on colleges&#39;,e7Y1g6QaIJU,2025-03-16T17:00:47Z,CNN
Neil deGrasse Tyson reacts to Trump&#39;s attacks on DEI,86UkJUsddeI,2025-02-25T01:56:44Z,CNN
‘Taking a dive’: Harry Enten on Trump’s latest approval ratings,-Thqk4HmXr4,2025-02-24T16:50:09Z,CNN
New poll shows where Trump stands with Americans,z2m2p9khmiA,2025-02-24T01:39:21Z,CNN
"Scott Jennings: Judges, not Trump, causing &quot;constitutional crisis&quot;",9ma5zkp7X00,2025-02-11T11:30:05Z,CNN
Are DEI initiatives necessary in 2025?,v4Kx_NjyzG8,2025-02-06T04:30:19Z,CNN
Panel jokes with Abby Phillip over her &#39;Jeopardy!&#39; answer,Ivap6nUOU6M,2025-01-24T21:04:01Z,CNN
4 tips to combat chronic stress,q0DfRGcUDio,2025-01-22T19:05:49Z,CNN
Trump admin. removes first female leader of a US military branch,V4NILSSC6OI,2025-01-21T17:34:39Z,CNN
"This is ‘the most profound advance in technology ever,’ according to Bill Gates",Du8mbxGQ9Ek,2025-01-14T20:30:01Z,CNN
What Greenland politician thinks of Trump’s interest in island,xV9eXhwcSPg,2025-01-07T15:55:33Z,CNN
Is DEI in corporate America dead? Analysts discuss.,F5nt-kBvhcE,2024-12-18T12:09:17Z,CNN
Trump sues Iowa newspaper over poll that showed him losing,PY7O8P7ljNw,2024-12-18T01:30:14Z,CNN
Merkel shares her impression of Trump when he was first elected,HFXRUNsK9Nk,2024-12-03T19:25:07Z,CNN
‘Brain-dead’ patient woke up in the OR. But a witness says an organ procurement group kept ‘pushing’,LimqrEkVsq0,2024-11-26T21:07:05Z,CNN
Why are young men running to support President-elect Trump? Analysts discuss,u3m3gRtMAuk,2024-11-20T11:30:36Z,CNN
Bernie Sanders shares scathing reaction to Trump&#39;s win,AHyFar_R2K0,2024-11-10T19:54:23Z,CNN
See the moment Lichtman realized his election prediction was wrong,pDMF90S7HwU,2024-11-08T11:30:34Z,CNN
Democratic strategist issues ‘hard truth’ to party members after losing election,hEJDcAKNr7o,2024-11-07T18:30:15Z,CNN
&#39;He&#39;s disrespected our president&#39;: Sen. Kennedy on Putin,UQcxFQj5C_M,2025-04-29T17:22:42Z,CNN
&#39;There&#39;s no way to sugarcoat it&#39;: CNN&#39;s Harry Enten on new Trump polling numbers,dRESxcAMkXY,2025-04-27T13:01:57Z,CNN
First images of Pope Francis&#39; tomb at Rome’s Basilica di Santa Maria Maggiore,9Re5PB6MoDk,2025-04-27T12:50:28Z,CNN
Watch the highlights of the funeral of Pope Francis,IedZqBfaoLo,2025-04-26T14:30:24Z,CNN
Harvard&#39;s lawsuit against the Trump admin sets up a titanic clash over academic freedom,Iwvk8-YYjao,2025-04-22T19:36:54Z,CNN
Harvard sues Trump administration,aKOwO-307_I,2025-04-21T23:58:45Z,CNN
Pastor pushes for longer Target boycott,bXI3bZyJvFI,2025-04-21T23:20:16Z,CNN
Former president of Columbia University on Trump’s ‘campaign of intimidation’,60GmnlFtHP4,2025-04-20T19:30:01Z,CNN
This area of South Dakota voted for Trump by roughly 70%. Here&#39;s what they think now,Wsn1baT3WaU,2025-04-17T13:49:23Z,CNN
"Scott Jennings, Lulu Navarro Garcia spar over Trump&#39;s threats to Harvard",ngDBH8utpUE,2025-04-15T21:17:10Z,CNN
Trump threatens to tax Harvard as a political entity,aa0_HrAglEo,2025-04-15T18:51:10Z,CNN
Anderson Cooper reacts to Naval Academy&#39;s book purge,H5XEDeecGEg,2025-04-15T00:06:38Z,CNN
&#39;I never thought I was going to lose this much money&#39;: Trump voter amid tariffs,kDtDbo3fvM0,2025-04-11T13:57:42Z,CNN
Graphic video shows the moment helicopter plunges into the Hudson River,ChRJz0XB0fw,2025-04-11T01:23:37Z,CNN
Sanders attacks Trump&#39;s DEI crackdown,mtQ3VdPTtGI,2025-04-10T03:35:17Z,CNN
&#39;They don&#39;t give a damn about you&#39;: Bernie Sanders issues warning to Americans,RwqRP1SnY_g,2025-04-10T02:40:00Z,CNN
‘Bad math on steroids’: Democratic senator berates Trump trade official over tariffs,lajsxV5zH2s,2025-04-08T19:30:06Z,CNN
Attorney who resigned to protest Trump&#39;s law firm deals speaks out,__jAHWFfZHw,2025-04-08T01:23:26Z,CNN
Obama and Harris publicly rebuke Trump’s second term actions,ziToSKxklU8,2025-04-04T15:47:55Z,CNN
Europe to Trump: Prepare for retaliation against your tariffs,g9sEDtxeLVA,2025-04-01T14:27:21Z,CNN
Toure: Targeting African American museum makes me want to cry,RMqWxv1VLgA,2025-03-29T14:45:01Z,CNN
MAGA voter sends message to Trump in CNN interview,f-FE3XxsOI4,2025-03-28T13:19:29Z,CNN
Van Jones: Crockett&#39;s &#39;Hot Wheels&#39; insult is wrong move for Dems,Y2FaOyfuoec,2025-03-26T10:56:52Z,CNN
Trump’s DEI Data Purge,LINzMqpPuyg,2025-03-26T08:43:46Z,CNN
‘Shocking’: See Buttigieg&#39;s reaction to Trump admin.&#39;s group chat scandal,JaBK1z0b4og,2025-03-25T11:36:08Z,CNN
Hear what Trump told Stephen A. Smith before running for president in 2016,FUCpZXw62OI,2025-03-21T23:15:49Z,CNN
Hear what Trump told Stephen A. Smith before running for President in 2016,6eL--Rp0Wzw,2025-03-21T22:49:20Z,CNN
Anderson shares Survivor stories lost in the Pentagon purge,6CIx4X1Cp4A,2025-03-20T03:24:17Z,CNN
&#39;We&#39;re basically sleeping on the floor&#39;: Veteran speaks about Trump&#39;s cuts,jtsWBi5GTKU,2025-03-18T19:30:09Z,CNN
Manhole explodes on Texas college campus,S6RsIFi55iQ,2025-03-13T14:04:21Z,CNN
Democratic Rep. Larson yells at GOP colleagues as Musk&#39;s testimony gets blocked,INvMI6H58Aw,2025-03-13T12:52:27Z,CNN
Anderson Cooper on ‘chilling message’ Trump is sending to law firms,k6BRO65gl94,2025-03-11T12:32:03Z,CNN
"&quot;Lord, Lord, Lord&quot;: Van Jones reacts to Pentagon&#39;s DEI purge",sfgLV1xhSjI,2025-03-08T13:30:37Z,CNN
Pentagon’s DEI purge removes historic photos,4PJ4TL5EtaY,2025-03-08T03:18:32Z,CNN
&quot;Dumbest thing I&#39;ve ever seen&quot;: Scott Jennings confronts Dem congresswoman,WfcYXm9xOzM,2025-03-07T12:00:45Z,CNN
Why President Trump is angry at Europe,pn18lDePZaU,2025-03-02T11:40:12Z,CNN
Trump talked about diversity on &#39;The Apprentice&#39;,Bg_RW7PsReg,2025-02-28T22:03:30Z,CNN
Calls for boycotts over DEI rollbacks,Q7PeA4i6edU,2025-02-28T14:40:13Z,CNN
Fired federal worker who voted for Trump speaks out,77WjtNoCta4,2025-02-28T12:29:54Z,CNN
Honig on Trump appointee: &#39;I&#39;m sounding the alarm bells here and I don&#39;t do that often&#39;,xQE-ZEs2qfM,2025-02-26T13:15:03Z,CNN
"Boycotts, DEI, and Trump 2.0 Resistance",VYC1Dajn6-M,2025-02-26T09:39:22Z,CNN
Fox News echoes Trump in questioning DEI&#39;s connection to plane crashes,dbuRHysniZY,2025-02-26T00:18:56Z,CNN
Neil deGrasse Tyson reacts to Trump&#39;s attacks on DEI,86UkJUsddeI,2025-02-25T01:56:44Z,CNN
Trump fires top US general after Hegseth called him &#39;woke&#39;,DVXqoCIM5Tk,2025-02-22T13:00:21Z,CNN
Trump fires top US general and Navy chief in purge of military leadership,nRy6hKOy1-Q,2025-02-22T02:12:19Z,CNN
Toronto plane crash survivor describes what he saw during landing,sZeksExNlZs,2025-02-18T02:54:11Z,CNN
Trump says he doesn&#39;t see JD Vance as his successor,7tmPMVh1vIM,2025-02-11T01:20:44Z,CNN
The Real-Life Impact of DOGE’s Cuts,Rn8dWRnOdaM,2025-02-09T09:35:55Z,CNN
&quot;You disgust me&quot;: Vance &amp; Democrat get heated over DOGE aide’s racist post,QAVvYlyDEL0,2025-02-08T12:00:26Z,CNN
Indian migrants seen in shackles as they board deportation flight from US,NH7q7XwQQKY,2025-02-07T17:36:39Z,CNN
Why President Trump is angry at Europe,pn18lDePZaU,2025-03-02T11:40:12Z,CNN
Trump talked about diversity on &#39;The Apprentice&#39;,Bg_RW7PsReg,2025-02-28T22:03:30Z,CNN
Calls for boycotts over DEI rollbacks,Q7PeA4i6edU,2025-02-28T14:40:13Z,CNN
Fired federal worker who voted for Trump speaks out,77WjtNoCta4,2025-02-28T12:29:54Z,CNN
Honig on Trump appointee: &#39;I&#39;m sounding the alarm bells here and I don&#39;t do that often&#39;,xQE-ZEs2qfM,2025-02-26T13:15:03Z,CNN
"Boycotts, DEI, and Trump 2.0 Resistance",VYC1Dajn6-M,2025-02-26T09:39:22Z,CNN
Fox News echoes Trump in questioning DEI&#39;s connection to plane crashes,dbuRHysniZY,2025-02-26T00:18:56Z,CNN
Neil deGrasse Tyson reacts to Trump&#39;s attacks on DEI,86UkJUsddeI,2025-02-25T01:56:44Z,CNN
Trump fires top US general after Hegseth called him &#39;woke&#39;,DVXqoCIM5Tk,2025-02-22T13:00:21Z,CNN
Trump fires top US general and Navy chief in purge of military leadership,nRy6hKOy1-Q,2025-02-22T02:12:19Z,CNN
Jemele Hill: Trump&#39;s Black History Month event &#39;an insult&#39;,eowSNTZ-2w8,2025-02-21T12:00:55Z,CNN
&#39;Elon Musk is clearly running the show&#39;: Bernie Sanders on DOGE leadership,AvR8E2i-FfM,2025-02-19T12:00:28Z,CNN
Toronto plane crash survivor describes what he saw during landing,sZeksExNlZs,2025-02-18T02:54:11Z,CNN
Trump says he doesn&#39;t see JD Vance as his successor,7tmPMVh1vIM,2025-02-11T01:20:44Z,CNN
The Real-Life Impact of DOGE’s Cuts,Rn8dWRnOdaM,2025-02-09T09:35:55Z,CNN
&quot;You disgust me&quot;: Vance &amp; Democrat get heated over DOGE aide’s racist post,QAVvYlyDEL0,2025-02-08T12:00:26Z,CNN
Indian migrants seen in shackles as they board deportation flight from US,NH7q7XwQQKY,2025-02-07T17:36:39Z,CNN
Jake Tapper warns CBS’ corporate owner against settling Trump’s lawsuit against ‘60 Minutes’,WcFexAO74LQ,2025-02-07T12:00:55Z,CNN
"Both parties “live in different realities” on DEI, according to Ashley Allison",c7FqhEEjKbo,2025-02-06T11:00:50Z,CNN
Are DEI initiatives necessary in 2025?,v4Kx_NjyzG8,2025-02-06T04:30:19Z,CNN
Bill Gates weighs in on Elon Musk&#39;s new role,e5ooQ8biw4M,2025-02-05T00:03:10Z,CNN
Beijing residents speak about Trump’s trade tariffs on China,tS8GlZ97h80,2025-02-03T15:59:17Z,CNN
Jake Tapper asks transportation secretary if DEI was at all related to DC plane collision,PcdQdoNofjg,2025-02-03T15:14:10Z,CNN
"USAID workers told to stay home in unexpected, early-morning email",9n4VJS-t12g,2025-02-03T13:39:22Z,CNN
Hear from the trans National Guard pilot falsely accused of flying helicopter in fatal collision,xKL_HsSpoCA,2025-02-01T15:06:02Z,CNN
DEI has &quot;become a stand in for being Black and unqualified&quot;: GOP political strategist,VVKCPyKMS2E,2025-02-01T14:00:37Z,CNN
"Frank Luntz: Trump voters tired of being accused of racism, sexism",AqZyhWMAZuQ,2025-02-01T13:00:19Z,CNN
Disabled pilot reacts to Trump’s comments on deadly crash and hiring of people with disabilities,mOHCfxhRgBg,2025-01-31T15:30:34Z,CNN
Ex-Black Hawk helicopter pilot: 3 things went wrong in plane collision,RPzovZ53c4s,2025-01-31T15:22:33Z,CNN
Ex-Black Hawk helicopter pilot believes three things went wrong in plane collision,d6vAXDQDbtQ,2025-01-31T14:30:05Z,CNN
Exclusive: CNN obtains videos showing new angles of DC plane crash,JTgUrfQsOnA,2025-01-31T12:42:39Z,CNN
Exclusive: CNN obtains videos showing new angles of DC plane crash,DkBWQ8Vmgik,2025-01-31T12:16:48Z,CNN
Van Jones reacts to Trump&#39;s DEI comments,F_VZfwZFn38,2025-01-31T04:46:10Z,CNN
‘Appalling’: Van Jones on Trump blaming DEI initiatives for plane-chopper collision,0Xh3uLH5-KY,2025-01-31T02:58:32Z,CNN
Trump jumps right to the blame game over DC midair collision,DQdDHxKtr4M,2025-01-30T19:58:01Z,CNN
Kaitlan Collins presses Trump after he blames Biden and DEI for collision,tokt8Lt-x-M,2025-01-30T18:07:06Z,CNN
&#39;I put my head in my hands&#39;: Muntean reacts to Trump&#39;s remarks after plane collision,MFze8__QGh0,2025-01-30T18:06:48Z,CNN
Judge pauses Trump’s federal aid freeze amid confusion,AZpN7GMl-lI,2025-01-29T15:23:33Z,CNN
Transgender Navy commander reacts to Trump’s ban on trans service members,8oY0yWJiWfc,2025-01-29T13:22:37Z,CNN
‘There is confusion’: Jake Tapper pushes Stephen Miller to explain order to freeze federal aid,thMvPd-tW6U,2025-01-28T22:50:49Z,CNN
Trump Justice Department fires officials who investigated Trump,N-ZNfuCdkUo,2025-01-27T22:01:31Z,CNN
Inspector general fired by Trump warns Americans,WPt9i-J4O9Q,2025-01-27T15:55:47Z,CNN
Trump hits Colombia with retaliatory tariffs over deportation flights,gyJt5etQw3c,2025-01-26T21:45:53Z,CNN
The Movement Behind Trump’s DEI Takedown,91x_do-wsYI,2025-01-26T09:42:52Z,CNN
Trump makes a political demand for California to get disaster aid,r5wGWuD-JyY,2025-01-24T19:00:10Z,CNN
Trump says he may get rid of FEMA,uXhDq8I5OM8,2025-01-24T17:46:26Z,CNN
Democrat overseeing DOGE shares what she believes Musk is planning to do,QqoiGeJpOiQ,2025-01-24T14:10:56Z,CNN
Danish official explains why he told Trump to &#39;f*** off&#39;,97AdlAg3b_w,2025-01-24T02:24:03Z,CNN
Judge says he will block Trump’s ‘blatantly unconstitutional’ immigration executive order,cQp7nyiawTI,2025-01-23T20:15:01Z,CNN
Democrat strategist: Talk with people of color to better understand DEI,nYd2D8gxQh4,2025-01-23T11:01:01Z,CNN
Comedian Bill Burr: Motive for CEO killing is clear,xokqX4DMMSs,2024-12-11T12:24:53Z,CNN
Should SCOTUS support Tennessee’s ban on gender-affirming care for minors? Analysts discuss.,NQ-l9_LglxA,2024-12-05T11:45:02Z,CNN
Are Americans scared to talk about transgender issues? Analysts discuss,TrOAUKd37FY,2024-12-05T04:25:25Z,CNN
"Who is Kash Patel, Trump’s pick for FBI director?",yBQyy_-9Nic,2024-12-02T22:11:39Z,CNN
CNN political commentators get into heated debate over Hunter Biden pardon,3uCYhevAJhM,2024-12-02T18:29:19Z,CNN
"Joe Rogan on Democrats: &#39;They had me, I was on their side!&#39;",uxGehaScurw,2024-11-28T13:30:37Z,CNN
How seniors who voted for Harris are feeling about Trump&#39;s win,g0YB2gfqFzM,2024-11-25T12:22:04Z,CNN
Hear Bondi&#39;s vow about prosecutors who investigated Trump,tDZrFy6FS-4,2024-11-22T12:27:20Z,CNN
Pete Hegseth responds to sexual assault claim,CMyJavDZqpU,2024-11-21T19:12:23Z,CNN
Rep. Byron Donalds reacts to Al Sharpton&#39;s criticism of Trump’s Cabinet lacking Black picks,cv5PNC2l15I,2024-11-21T16:00:33Z,CNN
Trump admin&#39;s potential return to office mandate could push federal employees to quit,G0WA_nixDJY,2024-11-21T01:17:35Z,CNN
Why are young men running to support President-elect Trump? Analysts discuss,u3m3gRtMAuk,2024-11-20T11:30:36Z,CNN
Ex-FEMA employee accused of skipping pro-Trump homes speaks out,RK9D92YO5zg,2024-11-19T12:36:06Z,CNN
"Heated confrontation between Elon Musk and Trump adviser, Axios reports",JXf13fKBupg,2024-11-18T16:05:43Z,CNN
Analysts discuss Trump’s plan to weed out ‘woke’ generals,6QGNeSdp7-E,2024-11-13T11:50:00Z,CNN
&#39;We are in a new place&#39;: Bernstein reacts to Hegseth&#39;s comments about women in combat roles,Bv0a__8zqQQ,2024-11-13T11:19:49Z,CNN
Trump taps Fox News host Pete Hegseth as Defense Secretary,-fs9eAOAUSY,2024-11-13T00:56:16Z,CNN
James Carville identifies the moment he thinks decided the presidential election,D00RV3j2lNA,2024-11-12T19:30:23Z,CNN
New report examines &#39;what went wrong&#39; in Harris campaign,9I4VW5BIXAA,2024-11-12T02:15:00Z,CNN
Fareed’s take: Democrats blew it by making three big mistakes,9yx_re0FyZM,2024-11-10T23:45:02Z,CNN
Bernie Sanders shares scathing reaction to Trump&#39;s win,AHyFar_R2K0,2024-11-10T19:54:23Z,CNN
"Why did young men shift to Trump? &#39;Aspirational masculinity&#39;, says Scott Galloway",sjwYQ4kIgEw,2024-11-09T21:16:12Z,CNN
‘The goal should be to deport every illegal’: GOP senator-elect on Trump’s mass deportation plans,TsI3XQlyRUE,2024-11-08T19:54:37Z,CNN
Racist texts referring to ‘picking cotton’ sent to Black people across US after election,FdpPmmDrrb0,2024-11-08T16:29:49Z,CNN
Democratic strategist issues ‘hard truth’ to party members after losing election,hEJDcAKNr7o,2024-11-07T18:30:15Z,CNN
Ex-ICE official warns about Trump&#39;s plan to deport millions of people,a8aUMWmF8kk,2024-11-07T14:51:44Z,CNN
